Service name,County,lat,lon,ig_xcord,ig_ycord,Address
Macroom Community Hospital,Cork,51.90537,-8.96064,133934.6776,72954.37815,"Macroom Community Hospital, Macroom, Co. Cork, Cork"
Maryborough Nursing Home,Cork,51.86254,-8.41135,171711.7027,67833.20714,"Maryborough Nursing Home, Maryborough Hill, Douglas, Cork, Cork"
Midleton Community Hospital,Cork,51.91399,-8.17283,188156.8605,73491.91238,"Midleton Community Hospital, Midleton, Co. Cork, Cork"
Mount Alvernia Hospital,Cork,52.11099,-8.69231,152619.7467,95624.73058,"Mount Alvernia Hospital, Newberry, Mallow, Cork, Cork"
Mount Cara,Cork,51.90734,-8.47879,167098.895,72846.135,"Mount Cara, Redemption Road, Blackpool, Cork, Cork"
Nazareth House,Cork,52.13816,-8.64936,155589.3493,98620.1154,"Nazareth House, Dromahane, Mallow, Co Cork, Cork"
Norwood Grange,Cork,51.86355,-8.58119,160012.4612,68024.85275,"Norwood Grange, Ballinora, Waterfall, Cork, Cork"
Oaklodge Nursing Home,Cork,51.82783,-8.08326,194310.0971,63894.28182,"Oaklodge Nursing Home, Churchtown South, Cloyne, Co. Cork, Cork"
Padre Pio House Nursing Home,Cork,52.27209,-8.73031,150197.0455,113575.9128,"Padre Pio House Nursing Home, Churchtown, Mallow, Co. Cork, Cork"
Padre Pio Nursing Home,Cork,51.86811,-8.36977,174579.2841,68437.03025,"Padre Pio Nursing Home, Sunnyside, Upper Rochestown, Cork, Cork"
Powdermill Nursing Home,Cork,51.8929,-8.59188,159302.9301,71296.59192,"Powdermill Nursing Home, Gunpowder Mill, Ballincollig, Co. Cork, Cork"
Rochestown Nursing Home,Cork,51.86793,-8.37052,174527.456,68417.02428,"Rochestown Nursing Home, Monastery Road, Rochestown, Co. Cork, Cork"
Rosenalee Care Centre Ltd.,Cork,51.88964,-8.57844,160224.6728,70925.99494,"Rosenalee Care Centre, Poulavone, Ballincollig, Co. Cork, Cork"
Skibbereen Community Hospital,Cork,51.56226,-9.26376,112412.1825,35098.87684,"Skibbereen Community Hospital, Coolnagarrane, Skibbereen, Co. Cork, Cork"
Skibbereen Residential Care Centre,Cork,51.54294,-9.26908,112005.9394,32956.0694,"Skibbereen Residential Care Centre, Baltimore Road, Skibbereen, Co. Cork, Cork"
St. Finbarr's Hospital,Cork,51.88963,-8.46109,168304.661,70867.65754,"St. Finbarr's Hospital, Douglas Road, Cork, Cork"
St. Gabriel's Community Hospital,Cork,51.52415,-9.55315,92255.16967,31245.41822,"St. Gabriel's Community Hospital, Schull, Cork, Cork"
St. Joseph's Community Hospital,Cork,52.06063,-9.06209,127204.9721,90326.73739,"St. Joseph's Community Hospital, Millstreet, Co. Cork, Cork"
St. Joseph's Hospital,Cork,51.89971,-8.53322,163346.6886,72022.63408,"St. Joseph's Hospital, Bon Secours Care Village, Mount Desert, Lee Road, Cork"
St. Joseph's Unit,Cork,51.68058,-9.45121,99675.29799,48504.15557,"St. Joseph's Unit, Bantry General Hospital, Bantry, Co. Cork, Cork"
St. Luke's Home,Cork,51.89804,-8.39919,172571.3673,71778.77249,"St. Luke's Home, Castle Road, Mahon, Cork, Cork"
St. Martha's Nursing Home,Cork,52.35666,-8.68808,153168.6602,122958.6012,"St. Martha's Nursing Home, Love Lane, Charleville, Co. Cork, Cork"
St. Patricks Hospital Cork,Cork,51.90452,-8.46109,168315.1408,72524.9391,"St. Patrick's Hospital (Cork) Ltd., Curraheen Road, Curraheen, Cork, Cork"
St.Stephens Unit 1,Cork,51.9543,-8.39981,172562.8623,78038.04274,"Unit 1 St Stephen's Hospital, Sarsfield Court, Glanmire, Cork, Cork"
Strawhall Nursing Home,Cork,52.13824,-8.25744,182423.5091,98461.80289,"Strawhall Nursing Home, Strawhall, Fermoy, Co. Cork, Cork"
Teach Altra Nursing Home,Cork,52.21597,-9.00399,131428.826,107554.6855,"Teach Altra Nursing Home, Scarteen, Newmarket, Co. Cork, Cork"
Windmill House Nursing Home,Cork,52.27188,-8.72996,150220.2431,113552.3021,"Windmill House Nursing Home, Churchtown, Mallow, Co. Cork, Cork"
Youghal Community Hospital,Cork,51.95602,-7.85624,209932.8144,78164.76669,"Youghal Community Hospital, Cork Hill, Youghal, Cork, Cork"
Youghal and District Nursing Home,Cork,51.93007,-7.91484,205907.8009,75270.14693,"Youghal and District Nursing Home, Gortroe, Youghal, Co. Cork, Cork"
Aras Mhuire Nursing Home,Kerry,52.44667,-9.49702,98262.93781,133805.6151,"Aras Mhuire Nursing Home, Greenville, Listowel, Co. Kerry, Kerry"
Ashborough Lodge,Kerry,52.14056,-9.71766,82454.05045,100079.4471,"Ashborough Lodge, Lyre Road, Milltown, Co. Kerry, Kerry"
Caherciveen Community Hospital,Kerry,51.94231,-10.23494,46365.09214,78989.01833,"Caherciveen Community Hospital, Valentia Road, Caherciveen, Co. Kerry, Kerry"
Cuil Didin,Kerry,52.24649,-9.69065,84577.99384,111822.3747,"Cuil Didin, Skahanagh, Tralee, Co. Kerry, Kerry"
Heatherlee Nursing Home,Kerry,52.11179,-9.51993,95923.26954,96576.74409,"Heatherlee Nursing Home, Lawlor's Cross, Tralee Road, Killarney, Kerry"
Kenmare Community Nursing Unit- New Build,Kerry,51.88865,-9.58138,91173.953,71840.359,"Hospital Road, Kenmare, Co. Kerry, Kerry"
Kenmare Nursing Home 'Tir na nOg',Kerry,51.86344,-9.60215,89682.5491,69066.60504,"Kenmare Nursing Home 'Tir na nOg', Killaha East, Kenmare, Co. Kerry, Kerry"
Kilcara House Nursing Home,Kerry,52.41575,-9.39043,105443.6267,130219.8495,"Kilcara House Nursing Home, Kilcara, Duagh, Listowel, Co. Kerry Kerry"
"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards)",Kerry,52.06715,-9.51882,95895.83925,91608.71083,"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards), St. Margaret's Road, Killarney, Co. Kerry Kerry"
Killarney Nursing Home,Kerry,52.06343,-9.51607,96075.51813,91190.93023,"Killarney Nursing Home, Rock Road, Killarney, Co. Kerry, Kerry"
Listowel Community Hospital,Kerry,52.44714,-9.49797,98199.84059,133859.3275,"Listowel Community Hospital St. Joseph's Ward, Listowel, Co. Kerry, Kerry"
Lystoll Lodge Nursing Home,Kerry,52.44854,-9.44258,101968.3115,133938.3234,"Lystoll Lodge Nursing Home, Skehenerin, Listowel, Co. Kerry, Kerry"
Oaklands Nursing home,Kerry,52.48217,-9.41978,103591.89,137650.0852,"Oaklands Nursing Home, Derry, Listowel, Co. Kerry, Kerry"
Ocean View Retirement and Nursing Home,Kerry,52.22522,-9.89454,70591.84026,109800.7471,"Ocean View Retirement and Nursing Home, Knockglassmore, Camp, Tralee, Co. Kerry Kerry"
Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital),Kerry,52.14103,-10.26771,44802.64137,101166.1861,"BÃƒÂ³thar an Phoist, Daingean UÃƒÂ­ ChÃƒÂºis, Co. ChiarraÃƒÂ­"
Our Lady of Fatima Home,Kerry,52.28214,-9.68513,85047.55318,115779.8671,"Our Lady of Fatima Home, Oakpark Road, Tralee, Co. Kerry, Kerry"
Our Lady of Lourdes Care Facility,Kerry,52.05035,-9.46115,99812.85717,89657.67366,"Our Lady of Lourdes Care Facility, Kilcummin Village, Killarney, Co. Kerry, Kerry"
Riverside Nursing Home,Kerry,52.34366,-9.69769,84350.84285,122645.6487,"Riverside Care Centre, Milltown, Abbeydorney, Tralee, Co. Kerry Kerry"
St. Joseph's Home,Kerry,52.10676,-9.78441,77792.64268,96429.72078,"St. Joseph's Home, Killorglin, Co. Kerry, Kerry"
St. Joseph's Nursing Home,Kerry,52.23939,-9.82902,75108.60423,111262.1839,"St. Joseph's Nursing Home, Derrymore East, Tralee, Co. Kerry, Kerry"
St. Joseph's Nursing Home,Kerry,51.88453,-9.56756,92115.39325,71361.02096,"St. Joseph's Nursing Home, Killowen, Kenmare, Co. Kerry, Kerry"
St. Louis Nursing Home,Kerry,52.26673,-9.70074,83942.18783,114091.0221,"St. Louis Nursing Home, Clonmore, Tralee, Co. Kerry, Kerry"
Tralee Community Nursing Unit,Kerry,52.26974,-9.70528,83640.15865,114432.8954,"Tralee Community Nursing Unit, Tralee, Co. Kerry, Kerry"
Valentia Hospital,Kerry,51.88972,-10.36715,37084.89684,73425.9021,"Valentia Hospital, Valentia Island, Co. Kerry, Kerry"
